Job Title,Company,Location,Experience Level,Date,Skills,Job Type,Application Link
Agricultural Engineer,Almotaheda -,"Abu Almatamir, Beheira, Egypt",· 1 - 5 Yrs of Exp,14 days ago,"English Education, Computer Skills",Full Time,https://wuzzuf.net/jobs/p/elmxggwrxjrf-agricultural-engineer-almotaheda-beheira-egypt
Agricultural Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,25 days ago,"Irrigation system design, Project management, Soil analysis, Agricultural engineering, Pest and disease control, Plant health management, Sustainable landscaping",Full Time,https://wuzzuf.net/jobs/p/vkfg80bi2k4d-agricultural-engineer-talaat-moustafa-group-cairo-egypt
"Technical Sales Engineer, Electrical Mechanical Agriculture - Alexandria",Sagueny Group -,"Alibrahimiyyah, Alexandria, Egypt",· 2+ Yrs of Exp,1 month ago,"Inside Sales, Upselling, Indoor Sales, Outdoor Sales, Sales Skills, Mechanical Engineering, Mechantronics, Electrical Engineering, Management, English, Engineering",Full Time,https://wuzzuf.net/jobs/p/5e8aw0ugkien-technical-sales-engineer-electrical-mechanical-agriculture-alexandria-sagueny-group-alexandria-egypt
Agricultural Quality Engineer,Bennu -,"Cairo, Egypt",· 0 - 5 Yrs of Exp,2 months ago,"Agricultural Engineering, Engineering, Operations, Production, Quality Assurance, Quality Control, Safety, FMCG, Microsoft Office, quality, ISO, BRC, Logistics",Full Time,https://wuzzuf.net/jobs/p/jbdkjnkflxk2-agricultural-quality-engineer-bennu-cairo-egypt
Production Supervisor,Shoura Chemicals -,"6th of October, Giza, Egypt",· 0 - 1 Yrs of Exp,Not listed,"Manufacturing, Engineering, Production, Science, Agriculture, Quality Control",Full Time,https://wuzzuf.net/jobs/p/pmsum4qxcakf-production-supervisor-shoura-chemicals-giza-egypt
Production Manager ( frozen vegetable),vegi farm -,"Alsalihiyyah Aljadidah, Sharqia, Egypt",· 8 - 12 Yrs of Exp,8 days ago,"Agriculture, Food Production, Manufacturing, Production, Production Management, Operations, Engineering, Food",Full Time,https://wuzzuf.net/jobs/p/ivrg8lmuvliq-production-manager-frozen-vegetable-vegi-farm-sharqia-egypt
HSE / Safety Manager,Marbella For Food Industry -,"6th of October, Giza, Egypt",· 5 - 7 Yrs of Exp,19 days ago,"Engineering, HSE, Safety, safety manager, Manufacturing, FMCG, Agriculture, ISO, NEBOSH, OSHA, quality, Science",Full Time,https://wuzzuf.net/jobs/p/tx908xpao4rf-hse-safety-manager-marbella-for-food-industry-giza-egypt
Production Engineer (Background Foods),Marbella For Food Industry -,"6th of October, Giza, Egypt",· 3 - 5 Yrs of Exp,1 month ago,"Agriculture, Engineering, Food Production, LEAN, Lean manufacturing, Manufacturing, Mechanical, Food, Mechanical Engineering, Production, Science, Six Sigma, Production Engineering, Food Manufacturing, ",Full Time,https://wuzzuf.net/jobs/p/bjeknlumctou-production-engineer-background-foods-marbella-for-food-industry-giza-egypt
Milk Sourcing Buyer,Beyti - an Almarai Subsidiary -,"New Cairo, Cairo, Egypt",· 2 - 3 Yrs of Exp,20 days ago,"Agricultural engineering, milk, procurement, animal production, farm, Contract Farming, development farm",Full Time,https://wuzzuf.net/jobs/p/dat7jqrrba4i-milk-sourcing-buyer-beyti-an-almarai-subsidiary-cairo-egypt
Agricultural Engineer,Confidential -,"Assuit, Assiut, Egypt",· 7 - 10 Yrs of Exp,2 months ago,"Agriculture, Irrigation, fertilization",Full Time,https://wuzzuf.net/jobs/p/0yyr1drvdef9-agricultural-engineer-assiut-egypt
Quality Control Specialist,Egyptian Starch and Glucose Manufacturing Company -,"Musturad, Qalubia, Egypt",· 2 - 3 Yrs of Exp,27 days ago,"Quality, Quality Control, Science, Agriculture, Computer, Statistical, Food & Beverage, Laboratory, Communication skills, Control, Engineering, Industry, Communication",Full Time,https://wuzzuf.net/jobs/p/hhnpcplbqglv-quality-control-specialist-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt
Production Engineer,الشركة المتحدة للاغذية -,"New Cairo, Cairo, Egypt",Not listed,2 months ago,"engineer, Production, Production engineer, Agricultural Engineering, Agricultural, Dairy, Engineering, Environment, food safety, Manufacturing, Safety",Full Time,https://wuzzuf.net/jobs/p/h76u4dryhhu3-production-engineer-alshrk-almthd-llaghthy-cairo-egypt
Irrigation Engineer,Talaat Moustafa Group -,"New Cairo, Cairo, Egypt",· 2 - 5 Yrs of Exp,25 days ago,"Irrigation System Design, AutoCAD, Water Resource Management, Sustainable Engineering, Project Management",Full Time,https://wuzzuf.net/jobs/p/hmivbjljhzvw-irrigation-engineer-talaat-moustafa-group-cairo-egypt
Landscape technical office Engineer,Confidential -,"Maadi, Cairo, Egypt",· 3 - 6 Yrs of Exp,15 days ago,"Landscape Design, AutoCAD, Technical Drawing, Project Coordination, Construction Documentation, Site Inspection, Problem Solving, Communication, Time Management, Material Procurement",Full Time,https://wuzzuf.net/jobs/p/5nlwn6qfges1-landscape-technical-office-engineer-cairo-egypt
Quality Control Engineer,orion food -,"6th of October, Giza, Egypt",· males_only,12 days ago,"Quality Control, Food Safety, Analytical Thinking, Problem Solving, Quality Assurance",Internship,https://wuzzuf.net/internship/5p3rfgo7rauo-quality-control-engineer-orion-food-giza-egypt
Printing Engineer,Zpac Co -,"Qalyub, Qalubia, Egypt",· 1+ Yrs of Exp,15 days ago,"Printing, Mechanical Engineering, Plastic Extrusion",Full Time,https://wuzzuf.net/jobs/p/rzsvdva2umlu-printing-engineer-zpac-co-qalubia-egypt
Procurement Engineer,Royal Herbs -,"Haram, Giza, Egypt",· 1 - 3 Yrs of Exp,21 days ago,"Procurement Management, Negotiation, Supplier Evaluation, Supply Chain Coordination, Data Analysis, ERP Systems, Contract Management, Communication, Inventory Management",Full Time,https://wuzzuf.net/jobs/p/urlmue75xye7-procurement-engineer-royal-herbs-giza-egypt
Farm Manager,Misr Elhegaz Group -,"Sharqia, Egypt",· 8 - 20 Yrs of Exp,1 month ago,"Agricultural, Agriculture, Agriculture Engineering, Engineering, farm, farm management, Farming, Management",Full Time,https://wuzzuf.net/jobs/p/39e1uhvp1mvk-farm-manager-misr-elhegaz-group-sharqia-egypt
Landscape Maintenance Manager,Lilly Landscape -,"Cairo, Egypt",· 7 - 15 Yrs of Exp,2 months ago,"Communication, Agriculture, Communication skills, Engineering, Landscape, Maintenance, Irrigation, Microsoft Office, Management",Full Time,https://wuzzuf.net/jobs/p/cnbe6cjtqybp-landscape-maintenance-manager-lilly-landscape-cairo-egypt
Quality Control Engineer,Cookievore -,"Sheikh Zayed, Giza, Egypt",· 2 - 3 Yrs of Exp,1 month ago,"food safety, Engineering, Quality Control, GMP",Full Time,https://wuzzuf.net/jobs/p/u3w5md9h6k6d-quality-control-engineer-cookievore-giza-egypt
Quality Control Engineer,Exception Patisserie -,"6th of October, Giza, Egypt",· 1 - 15 Yrs of Exp,2 months ago,"Agriculture, Quality Assurance, quality, Science",Full Time,https://wuzzuf.net/jobs/p/fknvfhiirsbc-quality-control-engineer-exception-patisserie-giza-egypt
Quality Control Engineer,Economic Group -,"Qaha, Qalubia, Egypt",· 1 - 5 Yrs of Exp,1 month ago,"Engineering, Industrial, quality, Quality Control, Quality Management",Full Time,https://wuzzuf.net/jobs/p/8qa0xv35fy9c-quality-control-engineer-economic-group-qalubia-egypt
Farm Manager – Alfalfa Production,Millennium Farms -,"Amman, Jordan",· 7+ Yrs of Exp,2 months ago,"Agriculture, Agriculture Engineering, Agricultural Engineering, Crop Production, Engineering, Production, Management, Farming, Alfalfa, English, Microsoft Office",Full Time,https://wuzzuf.net/jobs/p/exwnefgg3dii-farm-manager-alfalfa-production-millennium-farms-amman-jordan
Farm Manager – Orchard Fields,Millennium Farms -,"Amman, Jordan",· 7 - 10 Yrs of Exp,2 months ago,"Agriculture, Farming, Agricultural Engineering, Horticulture, Field Production, Orchard",Full Time,https://wuzzuf.net/jobs/p/nuodgxyq51in-farm-manager-orchard-fields-millennium-farms-amman-jordan
Preparation Leader Engineer,Arab Otsuka Nutraceuticals -,"10th of Ramadan City, Cairo, Egypt",· 8 - 10 Yrs of Exp,1 month ago,"Engineering, Food, Manufacturing, Chemical Engineering, Food & Beverage, Glass",Full Time,https://wuzzuf.net/jobs/p/krudnlbspmzt-preparation-leader-engineer-arab-otsuka-nutraceuticals-cairo-egypt
Packaging House Manager,Millennium Farms -,"Amman, Jordan",· 7+ Yrs of Exp,2 months ago,"Packing, Production, Packaging, Operations, English, Agriculture, Agricultural Machinery, Agricultural Engineering, Agriculture Engineering, Communication, Engineering, Microsoft Office, quality, Sales, sales skills, ",Full Time,https://wuzzuf.net/jobs/p/riizcngytjp4-packaging-house-manager-millennium-farms-amman-jordan
IoT and Applied AI Teacher,NASS Academy -,"Cairo, Egypt",· 1 - 3 Yrs of Exp,15 days ago,"Instructor, Software Engineering, Electronic Engineering",Full Time,https://wuzzuf.net/jobs/p/xidcbztfrim1-iot-and-applied-ai-teacher-nass-academy-cairo-egypt
Facility Management Manager,Confidential -,"6th of October, Giza, Egypt",· 10+ Yrs of Exp,12 days ago,"Facility management, Landscape Management, Landscape Engineering, Team leadership, Budgeting and cost control, Maintenance planning, Health and safety compliance, Project management, Problem-solving, , , , ",Full Time,https://wuzzuf.net/jobs/p/7cm8vhzrc7i9-facility-management-manager-giza-egypt
Quality Interns,Exception Patisserie -,"6th of October, Giza, Egypt",· 0 - 1 Yrs of Exp,2 months ago,"Industrial Engineering, Agriculture, Communication skills, Food, Engineering, Industrial, Manufacturing, Production, quality, Quality Assurance, Quality Control, Science",Internship,https://wuzzuf.net/internship/gbhut9oxqzs4-quality-interns-exception-patisserie-giza-egypt
AI Engineer,AgChat -,"Cairo, Egypt",· 1+ Yrs of Exp,2 months ago,"computer science, AI",Full Time,https://wuzzuf.net/jobs/p/wpkwlfmtskc6-ai-engineer-agchat-cairo-egypt
Production Supervisor,Agile Consultants -,"Dubai, United Arab Emirates",Not listed,Not listed,"Production, Manufacturing, Engineering, Pharmacy, Science, Pharmaceutical, Quality, Quality Assurance, Quality Control, Cosmetics, Mechanical Engineering, GMP, Agriculture, English, Microsoft Office, , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/f5gt57abwzqi-production-supervisor-agile-consultants-dubai-united-arab-emirates
Quality Control Engineer,Fresh Freeze -,"10th of Ramadan City, Sharqia, Egypt",· 3 - 5 Yrs of Exp,2 months ago,"ISO, QA, QC, quality, Quality Management, Analysis, Engineering, Production, Quality Assurance, Quality Control, Management, Safety",Full Time,https://wuzzuf.net/jobs/p/itybeolbuazx-quality-control-engineer-fresh-freeze-sharqia-egypt
Fabrication Manager,Energy Job Search -,"Dubai, United Arab Emirates",Not listed,9 days ago,"Management, Engineering, Fabrics, Operations, Production, Fabrication, Manufacturing, Microsoft Office, Applied Arts, English, Fashion, Home Economics, Adobe Photoshop, Agriculture, Aluminium, , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/olnuqiouqkzd-fabrication-manager-energy-job-search-dubai-united-arab-emirates
General Purchasing Officer,Burjline Builders -,"Riyadh, Saudi Arabia",· 2 - 5 Yrs of Exp,13 days ago,"Purchasing, Procurement, Logistics, Supply Chain, Microsoft Office, Business Administration, English, Commerce, Communication Skills, Engineering, Local Purchasing, Manufacturing, Medical, Accounting, , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/oeyauwpgv2pj-general-purchasing-officer-burjline-builders-riyadh-saudi-arabia
Principal HSES Specialist,"McDermott International, Ltd -","Dubai, United Arab Emirates",· 5 - 10 Yrs of Exp,21 days ago,"HSE, Engineering, Quality Control, Quality Assurance, Quality, Science, Safety, Health & Safety, OSHA, Health, First Aid, Risk Assessment, Fire Fighting, Health and Safety, ISO, Microsoft Office, Computer Science, , , ",Full Time,https://wuzzuf.net/jobs/p/g/frd6r9lslkf6-principal-hses-specialist-mcdermott-international-ltd-dubai-united-arab-emirates
Technician (Mechanical & Electronics),AgriCan -,"Mansoura, Dakahlia, Egypt",· 0 - 3 Yrs of Exp,1 month ago,"Engineering, technician, Mechanical, Maintenance, Electronics, Power, Computer Science, Information Technology (IT)",Full Time,https://wuzzuf.net/jobs/p/rcamhb3vicwf-technician-mechanical-electronics-agrican-dakahlia-egypt
Construction Manager,El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 15 - 20 Yrs of Exp,13 days ago,"Project Management, Team Leadership",Full Time,https://wuzzuf.net/jobs/p/2qgtaipk2j49-construction-manager-el-banna-group-company-monufya-egypt
Fire and Safety Consultant & Business Development Manager,U X E SECURITY SOLUTIONS L.L.C -,"Dubai, United Arab Emirates",Not listed,27 days ago,"Engineering, Fire Fighting, Architect, Architecture, Concept Design, Consulting Firm, Design, Fire Safety, HSE, HVAC, Pest Control, RFP, Safety, Agribusiness, Agriculture, AutoCAD, AutoCAD 2D, Consulting, , ",Full Time,https://wuzzuf.net/jobs/p/g/vcezgat3xkwd-fire-and-safety-consultant-business-development-manager-u-x-e-security-solutions-l-l-c-dubai-united-arab-emirates
Quality Manager (Food Company),Confidential -,"Obour City, Cairo, Egypt",· 10 - 15 Yrs of Exp,12 days ago,"Food Safety, Process Improvement, Communication, Problem Solving",Full Time,https://wuzzuf.net/jobs/p/alabzkqrqvso-quality-manager-food-company-cairo-egypt
Senior Business Developer Specialist,Wadi Group -,"Sheikh Zayed, Giza, Egypt",· 5 - 7 Yrs of Exp,Not listed,"Business Development, Project Management, Communication, Sales, English",Full Time,https://wuzzuf.net/jobs/p/ox1fftbpco3f-senior-business-developer-specialist-wadi-group-giza-egypt
Maintenance Manager,El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 10+ Yrs of Exp,11 days ago,"Maintenance Management, Preventive Maintenance, Budget Management",Full Time,https://wuzzuf.net/jobs/p/yaezhsp7qvtn-maintenance-manager-el-banna-group-company-monufya-egypt
Landscape Project Manager,Lilly Landscape -,"Cairo, Egypt",· 7 - 15 Yrs of Exp,2 months ago,"Architecture, Communication, Management, Project, Engineering, Construction, Communication skills, Project Management, AutoCAD, Microsoft Office",Full Time,https://wuzzuf.net/jobs/p/h3uwa5ahs5mc-landscape-project-manager-lilly-landscape-cairo-egypt
Medical Device Sales Representative - Monufya,medicalcity -,"Shebin Alkom, Monufya, Egypt",· 1 - 3 Yrs of Exp,2 months ago,"Medical, Medical Sales, Medical Devices Sales, Health Care, Sales Target, Sales Field, NICU, Ultrasound, Veterinary, Biomedical, Biomedical Engineering, Pharmacy, Communication, English, Healthcare",Full Time,https://wuzzuf.net/jobs/p/gregkmlgmjcw-medical-device-sales-representative-monufya-medicalcity-monufya-egypt
Medical Device Sales Representative - Mahalla Kubra,medicalcity -,"Mahalla Kubra, Gharbia, Egypt",· 1 - 3 Yrs of Exp,2 months ago,"Medical, Healthcare, Sales, Sales Target, Selling, sales skills, CRM, icu, NICU, Medical Devices Sales, Ultrasound, Veterinary, Veterinary Medicine, Biomedical, Biomedical Engineering, Pharmacy",Full Time,https://wuzzuf.net/jobs/p/240nrfa5ljhf-medical-device-sales-representative-mahalla-kubra-medicalcity-gharbia-egypt
Supply Chain Director,Confidential -,"Alsadat City, Monufya, Egypt",· 7 - 10 Yrs of Exp,1 month ago,"FMCG, Planning, Procurement, Purchasing, Supply Chain, Warehousing, SAP, Management, inventory, Logistics",Full Time,https://wuzzuf.net/jobs/p/m2tipnbyfch4-supply-chain-director-monufya-egypt
Lead Quality Assurance,ORGANI GROUP -,"Cairo, Egypt",· 5 - 7 Yrs of Exp,1 month ago,"ISO, QA, quality, Quality Assurance, Construction, Management, Quality Control, Safety, Auditing",Full Time,https://wuzzuf.net/jobs/p/bfyzeuyw48zu-lead-quality-assurance-organi-group-cairo-egypt
Project Manager (Thamarat Platform),Burjline Builders -,"Riyadh, Saudi Arabia",· 2 - 5 Yrs of Exp,13 days ago,"Project Management, Engineering, Information Technology (IT), Management, Computer Science, Civil Engineering, Microsoft Office, PMP, Construction, Architecture, Mechanical Engineering, AutoCAD, English, , , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/ci9mugzsysw1-project-manager-thamarat-platform-burjline-builders-riyadh-saudi-arabia
Sales Manager,Agile Consultants -,"Dubai, United Arab Emirates",Not listed,28 days ago,"Sales, Sales Skills, Sales Target, Customer Service, Management, Customer Support, Customer Care, Marketing, Business Development, Microsoft Office, Account Management, Communication Skills, , , , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/3e811b8hgfyi-sales-manager-agile-consultants-dubai-united-arab-emirates
"Quality Manager Fruits & Vegetables, IQF",El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 15 - 20 Yrs of Exp,2 months ago,"frozen vegetables, HACCP, QC, Food Science, FSSC 22000",Full Time,https://wuzzuf.net/jobs/p/iddtkgx0dwvp-quality-manager-fruits-vegetables-iqf-el-banna-group-company-monufya-egypt
